ProteinId.t1,Name,SC16a,CcL,CcD,PFAM annotation,GO annotation (terminal nodes only),KEGG annotation,SignalP/SmallSecretedProteins,Transcription factors,Transmembrane domains,MEROPS proteases,Manual annotations,Secondary metabolism,SC16a -> CcL: Up/Down,SC16a -> CcL: q value,"SC16a -> CcL: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",SC16a -> CcD: Up/Down,SC16a -> CcD: q value,"SC16a -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",CcL -> CcD: Up/Down,CcL -> CcD: q value,"CcL -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?"
Ophio5|3865.t1,,15.0426,27.3002,28.1474,PF00096.21|zf-C2H2;PF00096.21|zf-C2H2;PF00096.21|zf-C2H2;PF00096.21|zf-C2H2;PF13465.1|zf-H2C2_2;PF13465.1|zf-H2C2_2;PF13465.1|zf-H2C2_2;PF13894.1|zf-C2H2_4;PF13894.1|zf-C2H2_4;PF13894.1|zf-C2H2_4;PF13894.1|zf-C2H2_4;PF13912.1|zf-C2H2_6;PF13912.1|zf-C2H2_6;PF13912.1|zf-C2H2_6,GO:0046872|metal ion binding,,,C2H2 zinc finger,,,,,Up,0.020535,No,Up,0.0128397,No,Up,0.919128,No
Ophio5|3866.t1,,35.8784,51.2645,52.2597,PF00790.14|VHS;PF03127.9|GAT,GO:0005622|intracellular;GO:0006886|intracellular protein transport,,,,,,,,Up,0.13297,No,Up,0.116836,No,Up,0.948117,No
Ophio5|3867.t1,,6.34211,7.76244,8.46165,PF01566.13|Nramp,GO:0006810|transport;GO:0005215|transporter activity;GO:0016020|membrane,,,,11,,,,Up,0.559131,No,Up,0.390697,No,Up,0.825855,No
Ophio5|3868.t1,,182.573,143.776,160.163,PF04191.8|PEMT,,,,,5,,,,Down,0.327506,No,Down,0.601281,No,Up,0.687998,No
Ophio5|3869.t1,,30.3275,25.6852,21.9373,PF08595.6|RXT2_N,,,,,,,,,Down,0.542282,No,Down,0.212088,No,Down,0.577222,No
Ophio5|387.t1,,18.99,123.821,61.6517,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.0155274,Yes
Ophio5|3870.t1,,14.5161,100.152,38.316,PF00933.16|Glyco_hydro_3,"GO:0005975|carbohydrate metabolic process;GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds",,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|3871.t1,,15.9446,139.628,71.3614,PF13147.1|Amidohydro_4;PF13147.1|Amidohydro_4;PF07969.6|Amidohydro_3,,,,,,M38,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.00666187,No
Ophio5|3872.t1,,46.7166,140.129,62.1689,PF05224.7|NDT80_PhoG,GO:0003677|DNA binding,,,,,,,,Up,0.000285532,Yes,Up,0.219772,No,Down,0.000997454,Yes
Ophio5|3873.t1,,0.222488,2.60977,0,,,,,,2,,,,Up,0.370789,No,Down,1,No,Down,0.000285532,No
Ophio5|3874.t1,,0.121596,2.51418,0,PF02386.11|TrkH,GO:0008324|cation transmembrane transporter activity;GO:0006812|cation transport;GO:0055085|transmembrane transport,,,,5,,,,Up,0.261665,No,Down,1,No,Down,0.000285532,No
Ophio5|3875.t1,,0.0226745,0.0445887,0.0234612,PF00004.24|AAA;PF00004.24|AAA;PF00004.24|AAA;PF13086.1|AAA_11;PF13245.1|AAA_19,GO:0005524|ATP binding,,,,,,,,Up,1,No,Up,1,No,Down,1,No
Ophio5|3876.t1,,41.1625,68.834,51.9186,PF00176.18|SNF2_N;PF13892.1|DBINO;PF00271.26|Helicase_C;PF04851.10|ResIII,"GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0016817|hydrolase activity, acting on acid anhydrides;GO:0005524|ATP binding;GO:0016787|hydrolase activity;GO:0003677|DNA binding",,,,,,,,Up,0.0381973,No,Up,0.362895,No,Down,0.279187,No
Ophio5|3877.t1,,0.527936,0,0,,,,,,,,,,Down,1,No,Down,1,No,=,1,No
Ophio5|3878.t1,,49.9171,57.8258,47.6731,PF02179.11|BAG,GO:0051087|chaperone binding,,,,1,,,,Up,0.563553,No,Down,0.873771,No,Down,0.429257,No
Ophio5|3879.t1,,758.566,1285.46,1345.89,PF00572.13|Ribosomal_L13,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome,,,,,,,,Up,0.0722713,No,Up,0.0279477,No,Up,0.900497,No
Ophio5|388.t1,,100.101,1086.94,54.5813,,,,SignalP: has predicted secretion signal,,1,,,,Up,0.000285532,Yes,Down,0.00950223,No,Down,0.000285532,Yes
Ophio5|3880.t1,,296.34,110.948,118.085,PF13414.1|TPR_11;PF07719.12|TPR_2,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.834675,No
Ophio5|3881.t1,,180.144,159.324,132.151,,,,,,,,,,Down,0.677818,No,Down,0.249454,No,Down,0.512974,No
Ophio5|3882.t1,,77.7111,83.5351,70.474,PF03452.9|Anp1,,,,,1,,,,Up,0.790361,No,Down,0.715456,No,Down,0.495454,No
Ophio5|3883.t1,,48.0547,51.9252,45.2632,PF00179.21|UQ_con,GO:0016881|acid-amino acid ligase activity,,,,,,,,Up,0.819177,No,Down,0.862522,No,Down,0.662246,No
Ophio5|3884.t1,,108.148,106.237,86.9716,PF03208.14|PRA1,,,,,3,,,,Down,0.954841,No,Down,0.392643,No,Down,0.449636,No
Ophio5|3885.t1,,86.6697,74.2962,40.5687,PF04727.8|ELMO_CED12,GO:0006909|phagocytosis;GO:0005856|cytoskeleton,,,,,,,,Down,0.560108,No,Down,0.000535012,Yes,Down,0.0087289,No
Ophio5|3886.t1,,103.397,187.747,204.797,PF00642.19|zf-CCCH;PF13893.1|RRM_5,GO:0046872|metal ion binding,,,,,,,,Up,0.00481026,No,Up,0.00185084,No,Up,0.752117,No
Ophio5|3887.t1,,186.018,54.1333,62.3692,PF01237.13|Oxysterol_BP,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.583529,No
Ophio5|3888.t1,,52.6136,73.0888,41.0189,,,,,,,,,,Up,0.178973,No,Down,0.295748,No,Down,0.00919331,No
Ophio5|3889.t1,,63.3059,62.7288,63.436,PF01207.12|Dus,GO:0008033|tRNA processing;GO:0055114|oxidation-reduction process;GO:0050660|flavin adenine dinucleotide binding;GO:0017150|tRNA dihydrouridine synthase activity,,,,,,,,Down,0.975152,No,Up,0.994271,No,Up,0.9681,No
Ophio5|389.t1,,19.448,50.2525,27.7722,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,,,,,,,,Up,0.000285532,Yes,Up,0.114462,No,Down,0.00698249,No
Ophio5|3890.t1,,154.447,169.179,208.552,PF09769.4|ApoO,,,,,2,,,,Up,0.733727,No,Up,0.203007,No,Up,0.391745,No
Ophio5|3891.t1,,38.5275,45.1956,52.293,PF01432.15|Peptidase_M3,GO:0006508|proteolysis;GO:0004222|metalloendopeptidase activity,,,,,M03A,,,Up,0.525086,No,Up,0.183124,No,Up,0.57262,No
Ophio5|3892.t1,,5.52917,15.5921,9.83993,PF08774.6|VRR_NUC,"GO:0016788|hydrolase activity, acting on ester bonds",,,,,,,,Up,0.000285532,Yes,Up,0.0477927,No,Down,0.0895839,No
Ophio5|3893.t1,,44.4432,206.979,186.254,PF05186.8|Dpy-30,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.707197,No
Ophio5|3894.t1,,591.731,1371.88,1414.97,PF08069.7|Ribosomal_S13_N;PF00312.17|Ribosomal_S15,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,,,,,,,,Up,0.00185084,Yes,Up,0.000770107,Yes,Up,0.929655,No
Ophio5|3895.t1,,98.1053,142.016,130.365,PF00076.17|RRM_1;PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5,GO:0003676|nucleic acid binding,,,,,,,,Up,0.12541,No,Up,0.240711,No,Down,0.763614,No
Ophio5|3896.t1,,57.8519,54.377,53.5474,PF07934.7|OGG_N;PF00730.20|HhH-GPD,GO:0006289|nucleotide-excision repair;GO:0006284|base-excision repair;GO:0003684|damaged DNA binding;GO:0008534|oxidized purine nucleobase lesion DNA N-glycosylase activity,,,,,,,,Down,0.831072,No,Down,0.778944,No,Down,0.958255,No
Ophio5|3897.t1,,27.5142,25.3538,28.0498,PF08920.5|SF3b1,,,,,,,,,Down,0.764534,No,Up,0.94589,No,Up,0.704314,No
Ophio5|3898.t1,,80.2742,30.5115,35.4653,PF13465.1|zf-H2C2_2;PF00096.21|zf-C2H2;PF00096.21|zf-C2H2;PF13894.1|zf-C2H2_4;PF13894.1|zf-C2H2_4;PF12874.2|zf-met,GO:0046872|metal ion binding,,,C2H2 zinc finger,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.620661,No
Ophio5|3899.t1,,728.271,850.489,791.858,PF00957.16|Synaptobrevin,GO:0016021|integral component of membrane;GO:0016192|vesicle-mediated transport,,,,1,,,,Up,0.548436,No,Up,0.766339,No,Down,0.796199,No
Ophio5|39.t1,,66.9555,178.238,74.4651,,,,,,,,,,Up,0.000285532,Yes,Up,0.724708,No,Down,0.000285532,Yes
Ophio5|390.t1,,11.2777,0.610387,0.711948,,,,,,,,,,Down,0.300772,No,Down,0.37484,No,Up,1,No
Ophio5|3900.t1,,43.9337,1.09017,0.665749,PF03663.9|Glyco_hydro_76,,,SignalP: has predicted secretion signal,,1,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,1,No
Ophio5|3901.t1,,0.135206,16.3844,8.56917,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,0.31835,No,Up,0.31835,No,Down,0.0862228,No
Ophio5|3902.t1,,76.7974,59.1312,56.3496,PF01663.17|Phosphodiest,GO:0003824|catalytic activity,,,,1,,,,Down,0.277588,No,Down,0.188586,No,Down,0.865243,No
Ophio5|3903.t1,,33.227,32.1699,34.476,PF00176.18|SNF2_N;PF00271.26|Helicase_C;PF13920.1|zf-C3HC4_3;PF13923.1|zf-C3HC4_2;PF13639.1|zf-RING_2;PF00097.20|zf-C3HC4,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005515|protein binding;GO:0005524|ATP binding;GO:0046872|metal ion binding;GO:0008270|zinc ion binding;GO:0003677|DNA binding,,,,,,,,Down,0.911165,No,Up,0.896373,No,Up,0.805144,No
Ophio5|3904.t1,,19.5756,23.344,27.753,PF10156.4|Med17,GO:0016592|mediator complex;GO:0001104|RNA polymerase II transcription cofactor activity;GO:0006357|regulation of transcription from RNA polymerase II promoter,,,,,,,,Up,0.529051,No,Up,0.162462,No,Up,0.512015,No
Ophio5|3905.t1,,22.5051,2.45692,2.24041,PF13358.1|DDE_3,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.885906,No
Ophio5|3906.t1,,35.5897,57.1554,26.4582,PF01494.14|FAD_binding_3;PF01494.14|FAD_binding_3,,,,,2,,,,Up,0.0707903,No,Down,0.238479,No,Down,0.00281521,Yes
Ophio5|3907.t1,,155.57,98.4442,0.0442062,,,,,,,,,,Down,0.225467,No,Down,0.371161,No,Down,0.371161,No
Ophio5|3908.t1,,36.2945,169.37,195.667,PF12709.2|Kinetocho_Slk19,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.679162,No
Ophio5|3909.t1,,94.8463,154.119,208.02,PF04909.9|Amidohydro_2,GO:0003824|catalytic activity;GO:0008152|metabolic process,,,,,,,,Up,0.0348085,No,Up,0.000285532,Yes,Up,0.233176,No
Ophio5|391.t1,,86.3147,42.8795,22.0264,,,,,,,,,,Down,0.00533195,Yes,Down,0.000285532,Yes,Down,0.014705,No
Ophio5|3910.t1,,6.98783,8.39045,9.0837,PF06985.6|HET,,,,,,,,,Up,0.596448,No,Up,0.421845,No,Up,0.825945,No
Ophio5|3911.t1,,28.7466,686.026,915.442,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.335082,No
Ophio5|3912.t1,,122.123,359.164,406.111,PF01423.17|LSM,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.662958,No
Ophio5|3913.t1,,8.13102,4.6026,4.55642,PF01375.12|Enterotoxin_a,GO:0005576|extracellular region;GO:0009405|pathogenesis;GO:0003824|catalytic activity,,,,,,,,Down,0.0648595,No,Down,0.0642126,No,Down,0.981001,No
Ophio5|3914.t1,,1.21469,1.47588,0.130335,PF13649.1|Methyltransf_25,,,,,,,,,Up,1,No,Down,1,No,Down,1,No
Ophio5|3915.t1,,10.2291,32.1165,57.426,PF00962.17|A_deaminase,GO:0019239|deaminase activity,,SignalP: has predicted secretion signal,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.0204104,No
Ophio5|3916.t1,,43.9053,33.7123,43.5578,PF14382.1|ECR1_N,,,,,,,,,Down,0.341057,No,Down,0.980349,No,Up,0.352573,No
Ophio5|3917.t1,,63.5232,24.022,36.6618,PF00171.17|Aldedh,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0008152|metabolic process,,,,2,,,,Down,0.000285532,Yes,Down,0.0106029,No,Up,0.0701481,No
Ophio5|3918.t1,,110.997,85.421,117.64,PF10213.4|MRP-S28,,,,,,,,,Down,0.275448,No,Up,0.837655,No,Up,0.167578,No
Ophio5|3919.t1,,34.2297,60.6502,98.3446,PF04101.11|Glyco_tran_28_C,"GO:0030246|carbohydrate binding;GO:0005975|carbohydrate metabolic process;GO:0030259|lipid glycosylation;GO:0016758|transferase activity, transferring hexosyl groups",,,,,,,,Up,0.0447451,No,Up,0.000285532,Yes,Up,0.0653566,No
Ophio5|392.t1,,1.40645,291.357,105.629,PF04082.13|Fungal_trans,"GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated",,,Zn2Cys6,1,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.00338933,Yes
Ophio5|3920.t1,,42.0843,29.7703,36.5953,PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40,GO:0005515|protein binding,,,,,,,,Down,0.137112,No,Down,0.579633,No,Up,0.397008,No
Ophio5|3921.t1,,266.027,558.227,298.635,,,,,,,,,,Up,0.050395,No,Up,0.691648,No,Down,0.0935564,No
Ophio5|3922.t1,,62.8905,56.9374,59.8444,,,,,,,,,,Down,0.713351,No,Down,0.865017,No,Up,0.861776,No
Ophio5|3923.t1,,102.894,70.9525,80.0485,PF01918.16|Alba,GO:0003676|nucleic acid binding,,,,,,,,Down,0.136747,No,Down,0.326565,No,Up,0.687158,No
Ophio5|3924.t1,,131.006,364.074,211.804,PF02656.10|DUF202,,,,,3,,,,Up,0.000285532,Yes,Up,0.050395,No,Down,0.0305877,No
Ophio5|3925.t1,,218.298,598.142,740.013,PF03645.8|Tctex-1,,,,,,,,,Up,0.000535012,Yes,Up,0.000285532,Yes,Up,0.510033,No
Ophio5|3926.t1,,11.8146,107.433,86.554,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.40041,No
Ophio5|3927.t1,,10.04,17.4913,17.1706,,,,,,1,,,,Up,0.0476864,No,Up,0.0590631,No,Down,0.958204,No
Ophio5|3928.t1,,12.8439,13.1022,9.56739,PF04734.8|Ceramidase_alk;PF04734.8|Ceramidase_alk,,,,,,,,,Up,0.966913,No,Down,0.450407,No,Down,0.437287,No
Ophio5|3929.t1,,459.051,1019.07,658.965,PF00890.19|FAD_binding_2;PF00173.23|Cyt-b5;PF01266.19|DAO;PF12831.2|FAD_oxidored;PF07992.9|Pyr_redox_2;PF13450.1|NAD_binding_8,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,,,,1,,,,Up,0.0554716,No,Up,0.284994,No,Down,0.316395,No
Ophio5|393.t1,,57.3068,79.5259,56.3576,,,,,,,,,,Up,0.30223,No,Down,0.962515,No,Down,0.279808,No
Ophio5|3930.t1,,51.7997,40.659,52.3279,,,,,,,,,,Down,0.413679,No,Up,0.977193,No,Up,0.390748,No
Ophio5|3931.t1,,58.9028,110.607,81.8839,PF00319.13|SRF-TF,GO:0003677|DNA binding;GO:0046983|protein dimerization activity,,,MADS-box,,,,,Up,0.00618144,No,Up,0.163976,No,Down,0.220638,No
Ophio5|3932.t1,,0.200179,45.1286,15.8676,,,,,,,,,,Up,0.28794,No,Up,0.28794,No,Down,0.00185084,Yes
Ophio5|3933.t1,,0.0925591,0.2177,0.393402,,,,,,,,,,Up,1,No,Up,1,No,Up,1,No
Ophio5|3934.t1,,3.3566,10.2378,26.3093,PF13847.1|Methyltransf_31;PF08241.7|Methyltransf_11;PF13489.1|Methyltransf_23;PF01209.13|Ubie_methyltran;PF13649.1|Methyltransf_25;PF08242.7|Methyltransf_12;PF12847.2|Methyltransf_18;PF13659.1|Methyltransf_26;PF07021.7|MetW;PF05175.9|MTS;PF01135.14|PCMT;PF03141.11|Methyltransf_29;PF02390.12|Methyltransf_4,GO:0008168|methyltransferase activity;GO:0004719|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity;GO:0008176|tRNA (guanine-N7-)-methyltransferase activity;GO:0006464|cellular protein modification process;GO:0008152|metabolic process;GO:0006400|tRNA modification,,,,,,,,Up,0.00731372,Yes,Up,0.000285532,Yes,Up,0.00281521,Yes
Ophio5|3935.t1,,0.771323,0.791617,14.9014,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,1,No,Up,0.0819742,No,Up,0.101486,No
Ophio5|3936.t1,,5.90995,8.21425,3.54971,,,,,,,,,,Up,0.505041,No,Down,0.286032,No,Down,0.0858508,No
Ophio5|3937.t1,,9.39535,1.3349,1.5878,PF04488.10|Gly_transf_sug,,,,,1,,,,Down,0.00375377,Yes,Down,0.000285532,Yes,Up,0.80832,No
Ophio5|3938.t1,,6.35289,3.42464,2.64658,,,,,,1,,,,Down,0.112463,No,Down,0.0344574,Yes,Down,0.594486,No
Ophio5|3939.t1,,8.30441,3.14107,2.84982,,,,,,,,,,Down,0.0087289,Yes,Down,0.00429103,Yes,Down,0.838245,No
Ophio5|394.t1,,37.5979,61.9191,44.4099,PF04082.13|Fungal_trans,"GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated",,,Zn2Cys6,,,,,Up,0.0553789,No,Up,0.492574,No,Down,0.208811,No
Ophio5|3940.t1,,1350.67,1712.96,1746.89,PF01283.14|Ribosomal_S26e,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,,,,,,,,Up,0.476055,No,Up,0.397848,No,Up,0.959564,No
Ophio5|3941.t1,,2308.04,2900.06,2958.12,PF00240.18|ubiquitin;PF01599.14|Ribosomal_S27;PF11976.3|Rad60-SLD;PF14560.1|Ubiquitin_2,GO:0006412|translation;GO:0005515|protein binding;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome,,,,,,,,Up,0.51979,No,Up,0.42462,No,Up,0.96332,No
Ophio5|3942.t1,,116.144,181.114,177.704,PF01798.13|Nop;PF08060.8|NOSIC;PF08156.8|NOP5NT,,,,,,,,,Up,0.0618509,No,Up,0.0718758,No,Down,0.951255,No
Ophio5|3943.t1,,11.5664,3.14235,2.96505,PF00704.23|Glyco_hydro_18,"GO:0005975|carbohydrate metabolic process;GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds",,,,1,,,,Down,0.00204693,Yes,Down,0.000535012,Yes,Down,0.913779,No
Ophio5|3944.t1,,0.0553377,0,0.0227864,PF02737.13|3HCDH_N;PF00725.17|3HCDH;PF01210.18|NAD_Gly3P_dh_N,"GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0003857|3-hydroxyacyl-CoA dehydrogenase activity;GO:0051287|NAD binding;GO:0046168|glycerol-3-phosphate catabolic process;GO:0005737|cytoplasm;GO:0006631|fatty acid metabolic process;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",,,,,,,,Down,1,No,Down,1,No,Up,1,No
Ophio5|3945.t1,,0.0260009,0,0,PF00067.17|p450,"GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding",,,,,,,,Down,1,No,Down,1,No,=,1,No
Ophio5|3946.t1,,0,0,0,PF00175.16|NAD_binding_1;PF00970.19|FAD_binding_6;PF00173.23|Cyt-b5,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,,,,1,,,,=,1,No,=,1,No,=,1,No
Ophio5|3947.t1,,12.5374,3.08115,1.717,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Down,0.00357329,Yes,Down,0.000535012,Yes,Down,0.304809,No
Ophio5|3948.t1,,0.0759093,94.247,8.08729,PF01476.15|LysM;PF01476.15|LysM,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,0.194151,No,Up,0.194151,No,Down,0.000285532,Yes
Ophio5|3949.t1,,1.1209,0,0.484321,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Down,1,No,Down,1,No,Up,1,No
Ophio5|395.t1,,453.247,367.309,435.574,PF00012.15|HSP70;PF00012.15|HSP70,,,,,,,,,Down,0.509469,No,Down,0.91567,No,Up,0.602206,No
Ophio5|3950.t1,,91.766,57.4117,60.5859,PF13347.1|MFS_2,,,,,11,,,,Down,0.0331613,No,Down,0.0698758,No,Up,0.849662,No
Ophio5|3951.t1,,106.41,79.6692,97.523,,,,,,,,,,Down,0.298737,No,Down,0.769547,No,Up,0.475943,No
Ophio5|3952.t1,,11.1612,3.82648,6.47296,,,,,,,,,,Down,0.00243641,Yes,Down,0.109651,No,Up,0.164473,No
Ophio5|3953.t1,,1270.15,2091.91,2133.83,PF00416.17|Ribosomal_S13,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0003723|RNA binding,,,,,,,,Up,0.10608,No,Up,0.0534396,No,Up,0.960882,No
Ophio5|3954.t1,,81.2383,86.083,107.772,PF09377.5|SBDS_C;PF01172.13|SBDS,GO:0042254|ribosome biogenesis,,,,,,,,Up,0.838152,No,Up,0.213889,No,Up,0.350773,No
Ophio5|3955.t1,,70.7052,113.49,108.079,PF00579.20|tRNA-synt_1b,GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation,,,,,,,,Up,0.0422979,No,Up,0.0643034,No,Down,0.871122,No
Ophio5|3956.t1,,282.066,422.27,450.446,PF00450.17|Peptidase_S10,GO:0006508|proteolysis;GO:0004185|serine-type carboxypeptidase activity,,,,,S10,,,Up,0.178756,No,Up,0.0933394,No,Up,0.859326,No
Ophio5|3957.t1,,164.636,45.927,58.8541,PF01151.13|ELO,GO:0016021|integral component of membrane,,,,5,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.291381,No
Ophio5|3958.t1,,64.4577,336.227,402.864,PF01363.16|FYVE,GO:0046872|metal ion binding,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.56069,No
Ophio5|3959.t1,,84.6483,94.0043,91.5441,PF01967.16|MoaC;PF06463.8|Mob_synth_C;PF04055.16|Radical_SAM;PF13353.1|Fer4_12,"GO:0006777|Mo-molybdopterin cofactor biosynthetic process;GO:0019008|molybdopterin synthase complex;GO:0051539|4 iron, 4 sulfur cluster binding;GO:0051536|iron-sulfur cluster binding;GO:0003824|catalytic activity",,,,,,,,Up,0.712558,No,Up,0.776244,No,Down,0.929655,No
Ophio5|396.t1,,18.4334,25.2552,25.8165,PF01119.14|DNA_mis_repair;PF13589.1|HATPase_c_3;PF02518.21|HATPase_c,GO:0006298|mismatch repair;GO:0005524|ATP binding;GO:0030983|mismatched DNA binding,,,,,,,,Up,0.211836,No,Up,0.183448,No,Up,0.94089,No
Ophio5|3960.t1,,28.3228,5.20304,1.06535,,,,,,,,,,Down,0.00858494,Yes,Down,0.1912,No,Down,0.197069,No
Ophio5|3961.t1,,61.0982,46.5139,48.4587,PF12812.2|PDZ_1;PF12812.2|PDZ_1;PF13365.1|Trypsin_2,,,,,,S01B,,,Down,0.267203,No,Down,0.357531,No,Up,0.890997,No
Ophio5|3962.t1,,1.18475,0.481326,0,,,,,,,,,,Down,1,No,Down,1,No,Down,1,No
Ophio5|3963.t1,,16.2094,1.78632,1.72629,,,,,,,,,,Down,0.0467693,Yes,Down,0.058872,No,Down,0.924265,No
Ophio5|3964.t1,,192.683,48.3901,66.404,PF03398.9|Ist1,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.201788,No
Ophio5|3965.t1,,19.9847,31.7116,21.9925,,,,,,,,,,Up,0.113525,No,Up,0.789046,No,Down,0.219927,No
Ophio5|3966.t1,,17.1727,21.36,18.5087,,,,,,,,,,Up,0.585057,No,Up,0.865019,No,Down,0.731296,No
Ophio5|3967.t1,,83.5508,94.1255,146.039,PF01217.15|Clat_adaptor_s,,,,,,,,,Up,0.68931,No,Up,0.0250868,No,Up,0.0689629,No
Ophio5|3968.t1,,10.2531,0,1.50608,,,,,,,,,,Down,0.000285532,Yes,Down,0.162304,No,Up,1,No
Ophio5|3969.t1,,36.5577,45.1738,47.2458,PF13515.1|FUSC_2;PF10337.4|DUF2422,,,,,10,,,,Up,0.390949,No,Up,0.288211,No,Up,0.880276,No
Ophio5|397.t1,,54.1035,34.995,34.3955,PF05347.10|Complex1_LYR;PF13232.1|Complex1_LYR_1;PF13233.1|Complex1_LYR_2,,,,,,,,,Down,0.222572,No,Down,0.200414,No,Down,0.969663,No
Ophio5|3970.t1,,43.0607,49.4139,37.2106,PF02269.11|TFIID-18kDa,GO:0006366|transcription from RNA polymerase II promoter,,,,,,,,Up,0.619852,No,Down,0.617045,No,Down,0.286931,No
Ophio5|3971.t1,,4.73468,1.01163,2.63008,,,,,,,,,,Down,0.025357,Yes,Down,0.22943,No,Up,0.143189,No
Ophio5|3972.t1,,80.0187,68.1296,64.1444,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Down,0.585057,No,Down,0.434331,No,Down,0.856192,No
Ophio5|3973.t1,,205.959,57.4388,73.1762,PF04072.9|LCM,GO:0032259|methylation;GO:0008168|methyltransferase activity,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.327141,No
Ophio5|3974.t1,,92.7206,84.8839,105.531,,,,,,4,,,,Down,0.744493,No,Up,0.607192,No,Up,0.376936,No
Ophio5|3975.t1,,51.9173,36.3266,30.1811,PF00225.18|Kinesin,GO:0008017|microtubule binding;GO:0005524|ATP binding;GO:0003777|microtubule motor activity;GO:0007018|microtubule-based movement,,,,,,,,Down,0.126726,No,Down,0.0117917,No,Down,0.439928,No
Ophio5|3976.t1,,208.724,193.442,187.708,PF00179.21|UQ_con;PF14461.1|Prok-E2_B,GO:0016881|acid-amino acid ligase activity,,,,,,,,Down,0.789867,No,Down,0.689369,No,Down,0.920995,No
Ophio5|3977.t1,,201.519,66.9579,44.0131,PF00108.18|Thiolase_N;PF02803.13|Thiolase_C,"GO:0008152|metabolic process;GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups",,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.122972,No
