"gene_name","GOs","pfams","signalP","TMHMM","sc16a_ccl_up_down","sc16a_ccd_up_down","ccl_ccd_up_down"
"Ophio5|4453","","PF05532.7|CsbD","",NA,"Down","Down","Up"
"Ophio5|4454","GO:0006520|cellular amino acid metabolic process;GO:0016829|lyase activity;GO:0008152|metabolic process","PF00266.14|Aminotran_5;PF01212.16|Beta_elim_lyase;PF01041.12|DegT_DnrJ_EryC1","",NA,"Down","Down","Down"
"Ophio5|4455","GO:0005737|cytoplasm;GO:0005515|protein binding","PF03114.13|BAR;PF00018.23|SH3_1;PF14604.1|SH3_9;PF07653.12|SH3_2","",NA,"Down","Up","Up"
"Ophio5|4456","","PF11559.3|ADIP","",NA,"Down","Up","Up"
"Ophio5|4457","","PF12923.2|RRP7","",NA,"Down","Up","Up"
"Ophio5|4458","GO:0016021|integral component of membrane","PF01940.11|DUF92","",3,"Up","Up","Down"
"Ophio5|4459","GO:0006542|glutamine biosynthetic process;GO:0004356|glutamate-ammonia ligase activity;GO:0006807|nitrogen compound metabolic process","PF00120.19|Gln-synt_C;PF03951.14|Gln-synt_N","",NA,"Up","Up","Down"
"Ophio5|446","GO:0005515|protein binding;GO:0030071|regulation of mitotic metaphase/anaphase transition;GO:0005680|anaphase-promoting complex","PF04049.8|APC8;PF00515.23|TPR_1;PF00515.23|TPR_1;PF13414.1|TPR_11;PF13181.1|TPR_8;PF13181.1|TPR_8;PF13181.1|TPR_8;PF07719.12|TPR_2","",NA,"Up","Up","Down"
"Ophio5|4460","","","",NA,"Down","Up","Up"
"Ophio5|4461","GO:0005975|carbohydrate metabolic process","PF01182.15|Glucosamine_iso","",NA,"Up","Up","Up"
"Ophio5|4462","","","",NA,"Up","Down","Down"
"Ophio5|4463","","","",NA,"Down","Down","Down"
"Ophio5|4464","GO:0032313|regulation of Rab GTPase activity;GO:0005097|Rab GTPase activator activity","PF00566.13|RabGAP-TBC","",NA,"Up","Up","Down"
"Ophio5|4465","","","",NA,"Up","Down","Down"
"Ophio5|4466","","","",NA,"Down","Down","Up"
"Ophio5|4467","GO:0003723|RNA binding","PF00013.24|KH_1;PF00013.24|KH_1;PF00013.24|KH_1;PF13014.1|KH_3;PF13014.1|KH_3;PF13014.1|KH_3","",NA,"Down","Down","Down"
"Ophio5|4468","GO:0055085|transmembrane transport","PF08449.6|UAA","",7,"Down","Down","Down"
"Ophio5|4469","GO:0003677|DNA binding;GO:0006355|regulation of transcription, DNA-templated;GO:0043565|sequence-specific DNA binding;GO:0003700|sequence-specific DNA binding transcription factor activity","PF05920.6|Homeobox_KN;PF00046.24|Homeobox","SignalP: has predicted secretion signal",NA,"Up","Up","Up"
"Ophio5|447","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|4470","","","",NA,"Up","Up","Up"
"Ophio5|4471","","","",NA,"Up","Up","Up"
"Ophio5|4472","GO:0003743|translation initiation factor activity;GO:0006413|translational initiation;GO:0003723|RNA binding","PF01176.14|eIF-1a","",NA,"Down","Up","Up"
"Ophio5|4473","GO:0003779|actin binding","PF00568.18|WH1;PF02205.15|WH2","",NA,"Up","Down","Down"
"Ophio5|4474","","PF05572.8|Peptidase_M43","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|4475","","","",NA,"Down","Down","Down"
"Ophio5|4476","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Up"
"Ophio5|4477","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Up"
"Ophio5|4478","GO:0004518|nuclease activity;GO:0003677|DNA binding","PF02732.10|ERCC4","",NA,"Down","Down","Up"
"Ophio5|4479","","","",NA,"Up","Up","Down"
"Ophio5|448","","","",NA,"=","=","="
"Ophio5|4480","","","",NA,"Up","Up","Down"
"Ophio5|4481","","","",NA,"Up","Up","Down"
"Ophio5|4482","","","",NA,"Up","Up","Down"
"Ophio5|4483","","","",1,"Up","Down","Down"
"Ophio5|4484","GO:0016491|oxidoreductase activity;GO:0008152|metabolic process","PF00106.20|adh_short","",NA,"Down","Down","Down"
"Ophio5|4485","GO:0055114|oxidation-reduction process;GO:0016614|oxidoreductase activity, acting on CH-OH group of donors;GO:0050660|flavin adenine dinucleotide binding","PF05199.8|GMC_oxred_C;PF00732.14|GMC_oxred_N;PF13450.1|NAD_binding_8","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|4486","GO:0003854|3-beta-hydroxy-delta5-steroid dehydrogenase activity;GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0044237|cellular metabolic process;GO:0008152|metabolic process;GO:0050662|coenzyme binding;GO:0006694|steroid biosynthetic process;GO:0003824|catalytic activity;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF01370.16|Epimerase;PF13460.1|NAD_binding_10;PF00106.20|adh_short;PF07993.7|NAD_binding_4;PF01073.14|3Beta_HSD;PF08659.5|KR","",NA,"Up","Up","Down"
"Ophio5|4487","","","",1,"Up","Up","Up"
"Ophio5|4488","","","",NA,"Up","Up","Down"
"Ophio5|4489","","","",NA,"Up","Up","Down"
"Ophio5|449","","","",1,"Up","Up","Down"
"Ophio5|4490","GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0008270|zinc ion binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus","PF11951.3|Fungal_trans_2;PF00172.13|Zn_clus;PF00172.13|Zn_clus","",NA,"Up","Up","Down"
"Ophio5|4491","GO:0016787|hydrolase activity;GO:0008152|metabolic process","PF07859.8|Abhydrolase_3","",NA,"Up","Up","Up"
"Ophio5|4492","","","",NA,"Up","Up","Down"
"Ophio5|4493","","PF09349.5|OHCU_decarbox","",NA,"Down","Down","Up"
"Ophio5|4494","GO:0005515|protein binding","PF08606.6|Prp19;PF00400.27|WD40;PF00400.27|WD40","",NA,"Up","Up","Up"
"Ophio5|4495","","","",NA,"Up","Down","Down"
"Ophio5|4496","","","",NA,"Down","Down","Down"
"Ophio5|4497","","PF00248.16|Aldo_ket_red","",NA,"Down","Down","Up"
"Ophio5|4498","","PF03464.10|eRF1_2;PF03465.10|eRF1_3;PF03463.10|eRF1_1","",NA,"Up","Down","Down"
"Ophio5|4499","GO:0005515|protein binding","PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40","",NA,"Down","Down","Down"
"Ophio5|45","","PF00385.19|Chromo","",NA,"Down","Down","Down"
"Ophio5|450","GO:0008299|isoprenoid biosynthetic process","PF00348.12|polyprenyl_synt","",NA,"Up","Up","Up"
"Ophio5|4500","GO:0045454|cell redox homeostasis","PF00085.15|Thioredoxin","",NA,"Up","Up","Down"
"Ophio5|4501","","","",NA,"Up","Down","Down"
"Ophio5|4502","GO:0005515|protein binding","PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF12265.3|CAF1C_H4-bd","",NA,"Up","Up","Down"
"Ophio5|4503","GO:0003333|amino acid transmembrane transport;GO:0006810|transport;GO:0055085|transmembrane transport;GO:0016020|membrane;GO:0015171|amino acid transmembrane transporter activity","PF13520.1|AA_permease_2;PF00324.16|AA_permease","",12,"Up","Up","Up"
"Ophio5|4504","GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding","PF00067.17|p450","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|4505","GO:0000272|polysaccharide catabolic process;GO:0008810|cellulase activity","PF01670.11|Glyco_hydro_12","",NA,"Up","Up","Down"
"Ophio5|4506","GO:0016757|transferase activity, transferring glycosyl groups;GO:0016020|membrane;GO:0016760|cellulose synthase (UDP-forming) activity;GO:0030244|cellulose biosynthetic process","PF13641.1|Glyco_tranf_2_3;PF13632.1|Glyco_trans_2_3;PF03552.9|Cellulose_synt;PF13506.1|Glyco_transf_21;PF00535.21|Glycos_transf_2","",7,"Up","Up","Down"
"Ophio5|4507","GO:0016491|oxidoreductase activity;GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0020037|heme binding","PF00042.17|Globin;PF00175.16|NAD_binding_1;PF11563.3|Protoglobin","",NA,"Up","Up","Down"
"Ophio5|4508","","","SignalP: has predicted secretion signal",NA,"Up","Down","Down"
"Ophio5|4509","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0022857|transmembrane transporter activity","PF07690.11|MFS_1;PF00083.19|Sugar_tr","",11,"Down","Down","Down"
"Ophio5|451","","","",NA,"Down","Down","Up"
"Ophio5|4510","","","",NA,"Up","Up","Down"
"Ophio5|4511","GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding","PF07717.11|OB_NTP_bind;PF04408.18|HA2;PF00271.26|Helicase_C","",NA,"Up","Up","Down"
"Ophio5|4512","GO:0051082|unfolded protein binding;GO:0031072|heat shock protein binding","PF00226.26|DnaJ;PF00684.14|DnaJ_CXXCXGXG;PF01556.13|CTDII","SignalP: has predicted secretion signal",1,"Down","Down","Down"
"Ophio5|4513","","","",NA,"Down","Down","Up"
"Ophio5|4514","","","",NA,"Down","Down","Up"
"Ophio5|4515","","","",1,"Down","Down","Up"
"Ophio5|4516","","","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|4517","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|4518","","PF07970.7|COPIIcoated_ERV;PF13850.1|ERGIC_N","",NA,"Down","Down","Down"
"Ophio5|4519","GO:0046872|metal ion binding;GO:0000166|nucleotide binding","PF00122.15|E1-E2_ATPase;PF00702.21|Hydrolase;PF12710.2|HAD;PF00690.21|Cation_ATPase_N","",9,"Up","Up","Down"
"Ophio5|452","GO:0003854|3-beta-hydroxy-delta5-steroid dehydrogenase activity;GO:0045226|extracellular polysaccharide biosynthetic process;GO:0055114|oxidation-reduction process;GO:0008831|dTDP-4-dehydrorhamnose reductase activity;GO:0044237|cellular metabolic process;GO:0050662|coenzyme binding;GO:0006694|steroid biosynthetic process;GO:0009058|biosynthetic process;GO:0003824|catalytic activity;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF04321.12|RmlD_sub_bind;PF01370.16|Epimerase;PF07993.7|NAD_binding_4;PF02719.10|Polysacc_synt_2;PF01073.14|3Beta_HSD;PF13460.1|NAD_binding_10","",NA,"Down","Up","Up"
"Ophio5|4520","GO:0016491|oxidoreductase activity;GO:0008270|zinc ion binding;GO:0055114|oxidation-reduction process;GO:0008168|methyltransferase activity;GO:0008152|metabolic process","PF00109.21|ketoacyl-synt;PF08659.5|KR;PF00698.16|Acyl_transf_1;PF00106.20|adh_short;PF14765.1|PS-DH;PF02801.17|Ketoacyl-synt_C;PF00107.21|ADH_zinc_N;PF08242.7|Methyltransf_12;PF13489.1|Methyltransf_23;PF13602.1|ADH_zinc_N_2;PF13847.1|Methyltransf_31;PF08241.7|Methyltransf_11;PF12847.2|Methyltransf_18;PF00550.20|PP-binding","",NA,"Up","Up","Down"
"Ophio5|4521","","PF03959.8|FSH1","",NA,"Up","Up","Down"
"Ophio5|4522","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0022857|transmembrane transporter activity","PF07690.11|MFS_1;PF06609.8|TRI12;PF00083.19|Sugar_tr","",13,"Up","Up","Up"
"Ophio5|4523","","","",7,"Down","Down","Up"
"Ophio5|4524","GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding","PF00067.17|p450","",1,"Up","Up","Up"
"Ophio5|4525","","","",NA,"Down","Down","Up"
"Ophio5|4526","","","SignalP: has predicted secretion signal",NA,"=","=","="
"Ophio5|4527","GO:0006629|lipid metabolic process;GO:0004806|triglyceride lipase activity","PF01764.20|Lipase_3","SignalP: has predicted secretion signal",NA,"=","=","="
"Ophio5|4528","GO:0006298|mismatch repair;GO:0005524|ATP binding;GO:0030983|mismatched DNA binding","PF00488.16|MutS_V;PF05192.13|MutS_III;PF05190.13|MutS_IV;PF05188.12|MutS_II","",NA,"Down","Down","Up"
"Ophio5|4529","GO:0008324|cation transmembrane transporter activity;GO:0006812|cation transport;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport","PF01545.16|Cation_efflux","",5,"Down","Down","Down"
"Ophio5|453","","PF06991.6|Prp19_bind","",NA,"Down","Up","Up"
"Ophio5|4530","","","",NA,"Down","Down","Up"
"Ophio5|4531","","","",NA,"Down","Down","Down"
"Ophio5|4532","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Down","Down"
"Ophio5|4533","GO:0016787|hydrolase activity;GO:0008152|metabolic process","PF00135.23|COesterase;PF07859.8|Abhydrolase_3","SignalP: has predicted secretion signal",NA,"Down","Down","Down"
"Ophio5|4534","","PF04148.8|Erv26","",4,"Down","Down","Down"
"Ophio5|4535","GO:0008168|methyltransferase activity;GO:0004719|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity;GO:0006464|cellular protein modification process;GO:0008152|metabolic process","PF12589.3|WBS_methylT;PF08241.7|Methyltransf_11;PF13649.1|Methyltransf_25;PF01135.14|PCMT","",NA,"Up","Up","Up"
"Ophio5|4536","GO:0003676|nucleic acid binding;GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation","PF00152.15|tRNA-synt_2;PF01336.20|tRNA_anti-codon","",NA,"Up","Up","Down"
"Ophio5|4537","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Up","Up","Up"
"Ophio5|4538","GO:0055114|oxidation-reduction process;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF00180.15|Iso_dh","",NA,"Up","Up","Down"
"Ophio5|4539","GO:0016846|carbon-sulfur lyase activity;GO:0008152|metabolic process","PF04828.9|GFA;PF04828.9|GFA","",NA,"Up","Down","Down"
"Ophio5|454","GO:0003677|DNA binding;GO:0006260|DNA replication;GO:0003887|DNA-directed DNA polymerase activity","PF08418.5|Pol_alpha_B_N;PF04042.11|DNA_pol_E_B","",NA,"Up","Up","Down"
"Ophio5|4540","GO:0005515|protein binding","PF13899.1|Thioredoxin_7;PF14555.1|UBA_4;PF00789.15|UBX","",NA,"Down","Down","Up"
"Ophio5|4541","","PF13001.2|Ecm29","",NA,"Up","Up","Down"
"Ophio5|4542","GO:0008152|metabolic process","PF00330.15|Aconitase;PF00330.15|Aconitase;PF00694.14|Aconitase_C","",NA,"Up","Up","Down"
"Ophio5|4543","GO:0006388|tRNA splicing, via endonucleolytic cleavage and ligation;GO:0005524|ATP binding;GO:0003972|RNA ligase (ATP) activity","PF09511.5|RNA_lig_T4_1;PF08302.6|tRNA_lig_CPD;PF08303.6|tRNA_lig_kinase","",NA,"Down","Down","Up"
"Ophio5|4544","","PF09685.5|Tic20","",3,"Up","Up","Up"
"Ophio5|4545","","","",NA,"Down","Down","Up"
"Ophio5|4546","GO:0005524|ATP binding","PF00004.24|AAA","",NA,"Up","Up","Up"
"Ophio5|4547","","PF10281.4|Ish1;PF10281.4|Ish1;PF10281.4|Ish1;PF10281.4|Ish1","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|4548","GO:0005515|protein binding;GO:0006364|rRNA processing","PF08145.7|BOP1NT;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40","",NA,"Up","Up","Up"
"Ophio5|4549","","PF08457.5|Sfi1","",NA,"Up","Down","Down"
"Ophio5|455","","","",NA,"Up","Down","Down"
"Ophio5|4550","GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation","PF00133.17|tRNA-synt_1;PF08264.8|Anticodon_1;PF09334.6|tRNA-synt_1g","",NA,"Up","Down","Down"
"Ophio5|4551","GO:0005975|carbohydrate metabolic process;GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds","PF00722.16|Glyco_hydro_16","",1,"Up","Up","Down"
"Ophio5|4552","GO:0003676|nucleic acid binding","PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|4553","GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding","PF00067.17|p450","",NA,"Up","Up","Down"
"Ophio5|4554","","PF12417.3|DUF3669","",NA,"Up","Down","Down"
"Ophio5|4555","GO:0046872|metal ion binding","PF13087.1|AAA_12;PF13086.1|AAA_11;PF13245.1|AAA_19;PF00642.19|zf-CCCH","",NA,"Up","Down","Down"
"Ophio5|4556","","","",NA,"Up","Up","Down"
"Ophio5|4557","","PF01883.14|DUF59","",NA,"Up","Up","Up"
"Ophio5|4558","GO:0016788|hydrolase activity, acting on ester bonds;GO:0009058|biosynthetic process","PF00109.21|ketoacyl-synt;PF00698.16|Acyl_transf_1;PF02801.17|Ketoacyl-synt_C;PF00975.15|Thioesterase;PF14765.1|PS-DH;PF12697.2|Abhydrolase_6;PF00550.20|PP-binding","",NA,"Up","Up","Down"
"Ophio5|4559","GO:0016887|ATPase activity;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;GO:0006810|transport","PF00005.22|ABC_tran;PF00005.22|ABC_tran;PF00664.18|ABC_membrane","",12,"Up","Up","Down"
"Ophio5|456","","","",NA,"Up","Down","Down"
"Ophio5|4560","","","",NA,"=","=","="
"Ophio5|4561","","","",NA,"Up","=","Down"
"Ophio5|4562","","PF00339.24|Arrestin_N","",NA,"Down","Down","Down"
"Ophio5|4563","","PF06863.7|DUF1254;PF06742.6|DUF1214","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|4564","GO:0005576|extracellular region;GO:0009405|pathogenesis;GO:0003824|catalytic activity","PF01375.12|Enterotoxin_a","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|4565","GO:0006886|intracellular protein transport;GO:0016788|hydrolase activity, acting on ester bonds;GO:0006505|GPI anchor metabolic process","PF07819.8|PGAP1;PF05057.9|DUF676","",NA,"Down","Down","Up"
"Ophio5|4566","","","",1,"Down","Down","Up"
"Ophio5|4567","","","",10,"Down","Down","Up"
"Ophio5|4568","GO:0006355|regulation of transcription, DNA-templated;GO:0043565|sequence-specific DNA binding;GO:0003700|sequence-specific DNA binding transcription factor activity","PF00250.13|Fork_head","",NA,"Up","Down","Down"
"Ophio5|4569","","","",NA,"Up","Up","Down"
"Ophio5|457","","","",NA,"Down","Down","Up"
"Ophio5|4570","","","",NA,"Up","Up","Down"
"Ophio5|4571","GO:0005789|endoplasmic reticulum membrane;GO:0016746|transferase activity, transferring acyl groups;GO:0016021|integral component of membrane;GO:0006506|GPI anchor biosynthetic process","PF06423.7|GWT1","",10,"Up","Up","Down"
"Ophio5|4572","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Up","Down","Down"
"Ophio5|4573","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport","PF01699.19|Na_Ca_ex;PF01699.19|Na_Ca_ex","",10,"Down","Down","Up"
"Ophio5|4574","","","",NA,"Down","Down","Up"
"Ophio5|4575","","","",NA,"Down","Down","Down"
"Ophio5|4576","GO:0003723|RNA binding;GO:0006396|RNA processing","PF08068.7|DKCLD;PF01509.13|TruB_N;PF01472.15|PUA","",NA,"Up","Up","Up"
"Ophio5|4577","","","SignalP: has predicted secretion signal",2,"Up","Up","Down"
"Ophio5|4578","GO:0016810|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;GO:0006807|nitrogen compound metabolic process","PF00795.17|CN_hydrolase","",NA,"Up","Up","Down"
"Ophio5|4579","","","",1,"Up","Up","Down"
"Ophio5|458","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Down"
"Ophio5|4580","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|4581","","PF04511.10|DER1","",4,"Up","Up","Down"
"Ophio5|4582","","","",1,"Down","Down","Down"
"Ophio5|4583","GO:0006281|DNA repair;GO:0005524|ATP binding;GO:0009378|four-way junction helicase activity;GO:0006310|DNA recombination","PF08542.6|Rep_fac_C;PF13177.1|DNA_pol3_delta2;PF00004.24|AAA;PF13173.1|AAA_14;PF05496.7|RuvB_N;PF01443.13|Viral_helicase1","",NA,"Up","Up","Down"
"Ophio5|4584","GO:0032040|small-subunit processome","PF04900.7|Fcf1","",NA,"Up","Up","Up"
"Ophio5|4585","","","",NA,"Down","Down","Down"
"Ophio5|4586","","","",NA,"Down","Down","Down"
"Ophio5|4587","","","",NA,"Up","Down","Down"
"Ophio5|4588","","PF05368.8|NmrA","",NA,"Down","Down","Down"
"Ophio5|4589","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase","",NA,"Down","Down","Up"
"Ophio5|459","","","",NA,"Down","Down","Up"
"Ophio5|4590","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0003857|3-hydroxyacyl-CoA dehydrogenase activity;GO:0006631|fatty acid metabolic process","PF02737.13|3HCDH_N;PF00725.17|3HCDH","",NA,"Down","Down","Down"
"Ophio5|4591","GO:0046872|metal ion binding;GO:0008081|phosphoric diester hydrolase activity","PF01966.17|HD","",NA,"Down","Down","Up"
"Ophio5|4592","","","",NA,"Up","Up","Up"
"Ophio5|4593","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|4594","","","",NA,"Down","Down","Up"
"Ophio5|4595","GO:0008270|zinc ion binding","PF06220.7|zf-U1","",NA,"Up","Up","Down"
"Ophio5|4596","GO:0006810|transport;GO:0016021|integral component of membrane","PF01105.19|EMP24_GP25L","SignalP: has predicted secretion signal",1,"Down","Up","Up"
"Ophio5|4597","","PF03937.11|Sdh5","",NA,"Down","Up","Up"
"Ophio5|4598","GO:0007059|chromosome segregation;GO:0000444|MIS12/MIND type complex;GO:0051301|cell division","PF08202.6|MIS13","",NA,"Up","Up","Down"
"Ophio5|4599","GO:0006355|regulation of transcription, DNA-templated;GO:0043565|sequence-specific DNA binding;GO:0003700|sequence-specific DNA binding transcription factor activity","PF11786.3|Aft1_HRA;PF11787.3|Aft1_HRR;PF11785.3|Aft1_OSA;PF00170.16|bZIP_1;PF07716.10|bZIP_2","",NA,"Down","Down","Down"
"Ophio5|46","","","",NA,"Up","Up","Up"
"Ophio5|460","","PF09419.5|PGP_phosphatase","",NA,"Down","Down","Down"
"Ophio5|4600","GO:0005515|protein binding","PF14604.1|SH3_9;PF00018.23|SH3_1;PF07653.12|SH3_2","",NA,"Down","Down","Down"
"Ophio5|4601","","PF04181.8|RPAP2_Rtr1","",NA,"Down","Down","Up"
"Ophio5|4602","GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular","PF00833.13|Ribosomal_S17e","",NA,"Up","Up","Down"
"Ophio5|4603","","PF11709.3|Mit_ribos_Mrp51","",NA,"Up","Up","Down"
"Ophio5|4604","GO:0008616|queuosine biosynthetic process;GO:0008479|queuine tRNA-ribosyltransferase activity;GO:0006400|tRNA modification","PF01702.13|TGT","",NA,"Up","Up","Up"
"Ophio5|4605","","PF03856.8|SUN","",NA,"Down","Down","Down"
"Ophio5|4606","","","",NA,"Down","Down","="
"Ophio5|4607","","","",NA,"Down","Up","Up"
"Ophio5|4608","","PF00850.14|Hist_deacetyl","",NA,"Up","Up","Down"
"Ophio5|4609","","","",NA,"Up","Up","Up"
"Ophio5|461","","","",NA,"Down","Down","Up"
"Ophio5|4610","","","",NA,"Up","=","Down"
"Ophio5|4611","","","",NA,"Down","Down","Down"
"Ophio5|4612","","PF11700.3|ATG22","",12,"Up","Down","Down"
"Ophio5|4613","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process","PF01494.14|FAD_binding_3;PF01266.19|DAO","",NA,"Up","Up","Down"
"Ophio5|4614","","PF07719.12|TPR_2","",NA,"Up","Up","Down"
"Ophio5|4615","","","",NA,"Down","Down","Down"
"Ophio5|4616","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport","PF07690.11|MFS_1","",12,"Down","Down","Down"
"Ophio5|4617","GO:0016763|transferase activity, transferring pentosyl groups;GO:0009435|NAD biosynthetic process;GO:0004514|nicotinate-nucleotide diphosphorylase (carboxylating) activity","PF01729.14|QRPTase_C;PF02749.11|QRPTase_N","",NA,"Down","Down","Up"
"Ophio5|4618","GO:0005507|copper ion binding;GO:0048038|quinone binding;GO:0055114|oxidation-reduction process;GO:0009308|amine metabolic process;GO:0008131|primary amine oxidase activity","PF01179.15|Cu_amine_oxid;PF02728.11|Cu_amine_oxidN3;PF02727.11|Cu_amine_oxidN2","",NA,"Down","Down","Down"
"Ophio5|4619","","","",NA,"Up","Up","Up"
"Ophio5|462","","PF02466.14|Tim17","",NA,"Up","Up","Up"
"Ophio5|4620","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0008152|metabolic process","PF00171.17|Aldedh","",NA,"Down","Down","Up"
"Ophio5|4621","GO:0003755|peptidyl-prolyl cis-trans isomerase activity;GO:0006457|protein folding","PF00160.16|Pro_isomerase","",NA,"Up","Up","Down"
"Ophio5|4622","GO:0005634|nucleus;GO:0006355|regulation of transcription, DNA-templated;GO:0043565|sequence-specific DNA binding;GO:0003700|sequence-specific DNA binding transcription factor activity","PF00447.12|HSF_DNA-bind","",NA,"Up","Down","Down"
"Ophio5|4623","GO:0003755|peptidyl-prolyl cis-trans isomerase activity;GO:0006457|protein folding","PF00160.16|Pro_isomerase","",NA,"Up","Up","Down"
"Ophio5|4624","","PF02752.17|Arrestin_C","",2,"Down","Down","Up"
"Ophio5|4625","","PF12928.2|tRNA_int_end_N2","",NA,"Down","Down","Down"
"Ophio5|4626","","","",NA,"Down","Down","Up"
"Ophio5|4627","","PF00024.21|PAN_1;PF14295.1|PAN_4;PF14295.1|PAN_4;PF14295.1|PAN_4;PF14295.1|PAN_4;PF14295.1|PAN_4","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|4628","","","",6,"Up","=","Down"
"Ophio5|4629","GO:0005524|ATP binding","PF00288.21|GHMP_kinases_N;PF08544.8|GHMP_kinases_C","",NA,"Up","Up","Down"
"Ophio5|463","GO:0005975|carbohydrate metabolic process;GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds","PF00722.16|Glyco_hydro_16","",1,"Down","Down","Up"
"Ophio5|4630","GO:0000287|magnesium ion binding;GO:0010333|terpene synthase activity;GO:0016829|lyase activity","PF03936.11|Terpene_synth_C","",NA,"Down","Down","="
"Ophio5|4631","GO:0008299|isoprenoid biosynthetic process;GO:0004421|hydroxymethylglutaryl-CoA synthase activity","PF08540.5|HMG_CoA_synt_C;PF01154.12|HMG_CoA_synt_N","",NA,"=","Up","Up"
"Ophio5|4632","GO:0016787|hydrolase activity","PF00293.23|NUDIX","",NA,"=","=","="
"Ophio5|4633","GO:0015936|coenzyme A metabolic process;GO:0004420|hydroxymethylglutaryl-CoA reductase (NADPH) activity;GO:0050662|coenzyme binding;GO:0055114|oxidation-reduction process","PF00368.13|HMG-CoA_red","",NA,"Down","Down","Up"
