"ophio_gene","beau_gene","ophio_desc","beau_desc","ophcf2_protein","beau_protein","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"GQ602_003944","BBA_01357","Peroxisomal hydratase-dehydrogenase-epimerase","short chain dehydrogenase","KAF4587251.1","XP_008594676.1",0,1155,0,1169
"GQ602_003945","BBA_05213","Dynein heavy chain, cytoplasmic","cytoplasmic dynein heavy chain","KAF4587252.1","XP_008598532.1",0,7578,0,7590
"GQ602_003948","BBA_05215","GRAM domain-containing protein","GRAM domain-containing protein","KAF4587255.1","XP_008598534.1",0,900,0,911
"GQ602_003953","BBA_01685","MIT-like protein","hypothetical protein BBA_01685","KAF4587260.1","XP_008595004.1",0,591,0,585
"GQ602_003954","BBA_01686","Lysine-specific demethylase 8","JmjC domain-containing protein","KAF4587261.1","XP_008595005.1",8.42e-91,287,4.73e-91,287
"GQ602_003956","BBA_01707","methylenetetrahydrofolate reductase 1","methylenetetrahydrofolate reductase","KAF4587263.1","XP_008595026.1",0,989,0,989
"GQ602_003957","BBA_01705","putative RNA-binding protein","RNA recognition domain-containing protein","KAF4587264.1","XP_008595024.1",0,608,0,550
"GQ602_003958","BBA_01704","elongation factor 2","elongation factor 2","KAF4587265.1","XP_008595023.1",0,1613,0,1613
"GQ602_003959","BBA_01703","fermentation associated protein","fermentation associated protein","KAF4587266.1","XP_008595022.1",0,3336,0,3283
"GQ602_003960","BBA_01702","DUF300 domain protein","DUF300 family protein","KAF4587267.1","XP_008595021.1",0,712,0,736
"GQ602_003961","BBA_01698","Zn 2cys6 transcription factor protein","Putative Zn(II)2Cys6 transcription factor","KAF4587268.1","XP_008595017.1",0,835,0,830
"GQ602_003962","BBA_01697","Exocyst complex component Sec5","exocyst complex component Sec5","KAF4587269.1","XP_008595016.1",0,1276,0,1274
"GQ602_003963","BBA_01696","isocitrate dehydrogenase, subunit 2, NAD-dependent, mitochondrial","3-isopropylmalate dehydrogenase","KAF4587270.1","XP_008595015.1",0,672,0,672
"GQ602_003965","BBA_01695","Cyclin-like F-box","F-box domain-containing protein","KAF4587272.1","XP_008595014.1",0,652,0,677
"GQ602_003967","BBA_01694","transglutaminase-like superfamily protein","transglutaminase-like superfamily protein","KAF4587274.1","XP_008595013.1",0,577,7.83e-176,512
"GQ602_003968","BBA_01692","UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase","glycosyl transferase family 4","KAF4587275.1","XP_008595011.1",0,625,0,655
"GQ602_003969","BBA_01691","SET domain protein","PHD-finger domain-containing protein","KAF4587276.1","XP_008595010.1",0,1064,0,1037
"GQ602_003971","BBA_01690","Phosphatidylglycerol/phosphatidylinositol transfer protein","phosphatidylinositol/phosphatidylglycerol transfer protein","KAF4587278.1","XP_008595009.1",1.99e-55,171,2.02e-60,183
"GQ602_003972","BBA_01689","V-type proton ATPase subunit F","Vacuolar ATP synthase subunit F","KAF4587279.1","XP_008595008.1",4.69e-77,222,3.35e-77,222
"GQ602_003973","BBA_01688","DUF2418 domain protein","hypothetical protein BBA_01688","KAF4587280.1","XP_008595007.1",6.29e-144,418,8.22e-152,437
"GQ602_003974","BBA_01687","3-isopropylmalate dehydratase","3-isopropylmalate dehydratase","KAF4587281.1","XP_008595006.1",0,1251,0,1243
"GQ602_003975","BBA_05196","Calcium-binding protein","putative Cytosine deaminase FCY1","KAF4587282.1","XP_008598515.1",4.22e-48,159,1.48e-43,147
"GQ602_003976","BBA_05195","Calcium-binding protein NCS-1","neuronal calcium sensor 1","KAF4587283.1","XP_008598514.1",6.03e-132,367,4.65e-132,367
"GQ602_003977","BBA_01360","CDC45-like protein","CDC45-like protein","KAF4587284.1","XP_008594679.1",0,1172,0,1104
"GQ602_003978","BBA_05198","putative aflatoxin efflux pump AFLT","major facilitator superfamily transporter","KAF4587285.1","XP_008598517.1",0,708,0,683
"GQ602_003979","BBA_05199","COP9 signalosome complex subunit 6","signalosome subunit","KAF4587286.1","XP_008598518.1",8.47e-173,488,6.03e-173,488
"GQ602_003980","BBA_05200","vacuolar protein sorting-associated protein vps17","PX domain-containing protein","KAF4587287.1","XP_008598519.1",0,818,0,793
"GQ602_003981","BBA_05201","Protein BCP1","BCP1-like protein","KAF4587288.1","XP_008598520.1",8.84e-144,404,4.5e-136,384
"GQ602_003982","BBA_05202","Chorismate mutase, AroQ class, eukaryotic type","chorismate mutase","KAF4587289.1","XP_008598521.1",3.35e-149,416,2.41e-149,416
"GQ602_003983","BBA_01684","Mitochondrial division protein 1","mitochondrial division protein","KAF4587290.1","XP_008595003.1",0,819,0,898
"GQ602_003989","BBA_01717","hypothetical protein GQ602_003989","major facilitator superfamily transporter","KAF4587296.1","XP_008595036.1",1.13e-152,447,3.93e-159,464
"GQ602_003991","BBA_01720","GATA transcription factor","siderophore regulation protein","KAF4587298.1","XP_008595039.1",2.87e-146,430,1.55e-140,415
"GQ602_003992","BBA_01721","Set1 complex component ash2","COMPASS complex protein","KAF4587299.1","XP_008595040.1",0,757,0,750
"GQ602_003995","BBA_01723","transcription-silencing protein Clr2","transcription-silencing protein Clr2","KAF4587302.1","XP_008595042.1",1.83e-94,303,5.46e-98,311
"GQ602_003996","BBA_01724","hypothetical protein GQ602_003996","hypothetical protein BBA_01724","KAF4587303.1","XP_008595043.1",2.07e-72,224,1.34e-72,224
"GQ602_003999","BBA_01728","Eukaryotic aspartyl protease family protein","eukaryotic aspartyl protease","KAF4587306.1","XP_008595047.1",0,715,0,712
"GQ602_004000","BBA_01729","sulfite reductase flavoprotein alpha-component","Riboflavin synthase-like beta-barrel","KAF4587307.1","XP_008595048.1",0,634,0,647
"GQ602_004002","BBA_01731","zinc finger protein gcs1","ADP-ribosylation factor GTPase-activating protein GCS1","KAF4587309.1","XP_008595050.1",0,521,4.66e-177,496
"GQ602_004003","BBA_01732","electron transfer flavoprotein beta-subunit","electron transfer flavoprotein beta-subunit","KAF4587310.1","XP_008595051.1",3.77e-136,382,3.31e-143,400
"GQ602_004005","BBA_01734","Carbamoyl-phosphate synthase arginine-specific small chain","Carbamoyl-phosphate synthase","KAF4587312.1","XP_008595053.1",0,787,0,787
"GQ602_004006","BBA_01735","SAP domain-containing protein","SAP domain-containing protein","KAF4587313.1","XP_008595054.1",3.61e-71,240,6.21e-78,258
"GQ602_004007","BBA_01741","ThiJ/PfpI family protein","ThiJ/PfpI family protein","KAF4587314.1","XP_008595060.1",4.3e-169,468,3.06e-169,468
"GQ602_004008","BBA_01742","hamartin","tuberous sclerosis 1","KAF4587315.1","XP_008595061.1",0,889,0,872
"GQ602_004009","BBA_01743","glycoside hydrolase family 17 protein","glucan 1,3-beta-glucosidase","KAF4587316.1","XP_008595062.1",2.82e-101,310,1.16e-103,316
"GQ602_004010","BBA_01744","zinc transporter","ZIP Zinc transporter","KAF4587317.1","XP_008595063.1",0,563,0,526
"GQ602_004011","BBA_01368","arrestin","arrestin-like protein","KAF4587318.1","XP_008594687.1",0,539,0,542
"GQ602_004013","BBA_01366","Aromatic-L-amino-acid decarboxylase","dopa decarboxylase (aromatic L-amino acid decarboxylase)","KAF4587320.1","XP_008594685.1",0,536,0,531
"GQ602_004014","BBA_01496","ribokinase","Ribokinase, bacterial","KAF4587321.1","XP_008594815.1",1.01e-86,260,2.21e-88,264
"GQ602_004015","BBA_01492","GRF zinc finger domain containing protein","GRF zinc finger domain-containing protein","KAF4587322.1","XP_008594811.1",1.3e-103,307,9.61e-102,303
"GQ602_004016","BBA_01491","peroxisome targeting signal type 2 receptor","WD domain-containing protein","KAF4587323.1","XP_008594810.1",0,548,0,551
"GQ602_004017","BBA_01490","ATP-dependent RNA helicase","ATP-dependent RNA helicase mss116","KAF4587324.1","XP_008594809.1",0,590,0,603
"GQ602_004018","BBA_01489","inner centromere protein","inner centromere protein","KAF4587325.1","XP_008594808.1",0,897,0,860
"GQ602_004019","BBA_01488","condensin complex component SMC2","condensin complex component SMC2","KAF4587326.1","XP_008594807.1",0,1967,0,1925
"GQ602_004020","BBA_01487","MOSC domain containing protein","MOSC domain-containing protein","KAF4587327.1","XP_008594806.1",1.06e-165,473,1.49e-152,439
"GQ602_004021","BBA_01486","C6 finger domain-containing protein","C6 finger domain protein, putative","KAF4587328.1","XP_008594805.1",2.65e-162,482,5.17e-157,468
"GQ602_004022","BBA_01485","Mob1/phocein family protein","Mob1 family protein","KAF4587329.1","XP_008594804.1",0,533,0,534
"GQ602_004028","BBA_01472","Pro-apoptotic serine protease","PDZ domain-containing protein","KAF4587335.1","XP_008594791.1",0,1754,0,1742
"GQ602_004029","BBA_01473","increased sodium tolerance protein 1","DUF292 domain-containing protein","KAF4587336.1","XP_008594792.1",1.61e-129,368,7.31e-109,315
"GQ602_004030","BBA_08987","Protein kinase-like domain protein","Protein kinase-like protein","KAF4587337.1","XP_008602306.1",1.89e-22,90.1,1.29e-25,98.2
"GQ602_004031","BBA_07277","3-carboxymuconate cyclase","hypothetical protein BBA_07277","KAF4587338.1","XP_008600596.1",1.48e-138,410,1.28e-138,410
"GQ602_004032","BBA_05610","SIR2 family histone deacetylase","Sir2 family protein","KAF4587339.1","XP_008598929.1",4.96e-168,478,4.81e-168,478
"GQ602_004033","BBA_08183","Ascorbase and Cu-oxidase","laccase 2","KAF4587340.1","XP_008601502.1",1.28e-113,349,5.34e-114,350
"GQ602_004034","BBA_05609","mitochondrial genome maintenance protein Mgr2","mitochondrial genome maintenance protein Mgr2","KAF4587341.1","XP_008598928.1",1.07e-57,172,7.6e-58,172
"GQ602_004035","BBA_05608","cytoplasm to vacuole targeting Vps64","FHA domain-containing protein","KAF4587342.1","XP_008598927.1",0,689,0,669
"GQ602_004036","BBA_05607","cytochrome c oxidase assembly protein COX16","cytochrome c oxidase assembly protein COX16","KAF4587343.1","XP_008598926.1",1.03e-51,158,9.24e-52,158
"GQ602_004037","BBA_01761","phosphoribosylglycinamide formyltransferase","phosphoribosylglycinamide formyltransferase","KAF4587344.1","XP_008595080.1",4.83e-86,253,1.17e-74,223
"GQ602_004038","BBA_05604","hypothetical protein GQ602_004038","hypothetical protein BBA_05604","KAF4587345.1","XP_008598923.1",2.45e-21,89,9.17e-14,67.8
"GQ602_004040","BBA_05601","PRP38-domain-containing protein","PRP38 family protein","KAF4587347.1","XP_008598920.1",4.16e-74,225,1.87e-74,225
"GQ602_004041","BBA_05600","glutamyl-tRNA amidotransferase, A subunit","glutamyl-tRNA(Gln) amidotransferase subunit A","KAF4587348.1","XP_008598919.1",0,542,1.48e-180,514
"GQ602_004042","BBA_05581","v-snare","Putative SNARE complex subunit Vam7","KAF4587349.1","XP_008598900.1",8.79e-93,287,3.1e-78,249
"GQ602_004043","BBA_05582","Ribonucleotide reductase inhibitor","ribonucleotide reductase inhibitor","KAF4587350.1","XP_008598901.1",1.79e-42,142,1.26e-36,126
"GQ602_004044","BBA_03187","40S ribosomal protein S27","40S ribosomal protein S27","KAF4587351.1","XP_008596506.1",3.29e-52,157,3.56e-52,157
"GQ602_004045","BBA_03186","hypothetical protein GQ602_004045","phosducin family protein","KAF4587352.1","XP_008596505.1",1.91e-131,371,7.01e-131,369
"GQ602_004046","BBA_05564","Leucine Rich Repeat domain protein","leucine Rich Repeat family protein","KAF4587353.1","XP_008598883.1",8.92e-110,333,7.12e-110,333
"GQ602_004047","BBA_05563","phospholipid-binding protein","hypothetical protein BBA_05563","KAF4587354.1","XP_008598882.1",1.96e-155,449,7.53e-148,429
"GQ602_004048","BBA_05562","Nup53p-like protein","hypothetical protein BBA_05562","KAF4587355.1","XP_008598881.1",8.32e-154,442,9.71e-146,421
"GQ602_004050","BBA_01474","AP-2 complex subunit sigma","AP-2 complex subunit sigma","KAF4587357.1","XP_008594793.1",1.13e-99,285,2.11e-100,287
"GQ602_004051","BBA_01475","malate transporter, aliminium toerance","protein of unknown function DUF2422","KAF4587358.1","XP_008594794.1",0,1023,0,990
"GQ602_004052","BBA_01476","Transcription initiation factor IID, 18kDa subunit","transcription initiation factor IID","KAF4587359.1","XP_008594795.1",9.64e-166,464,9.41e-170,474
"GQ602_004053","BBA_05150","alpha/beta hydrolase","abhydrolase domain-containing protein","KAF4587360.1","XP_008598469.1",0,648,0,652
"GQ602_004055","BBA_05149","Spo7-like protein","serine/arginine repetitive matrix protein 1","KAF4587362.1","XP_008598468.1",0,514,0,529
"GQ602_004056","BBA_05147","glycosyltransferase family 31 protein","hypothetical protein BBA_05147","KAF4587363.1","XP_008598466.1",6.02e-49,171,2.83e-45,160
"GQ602_004059","BBA_05145","N2,N2-dimethylguanosine tRNA methyltransferase","N2,N2-dimethylguanosine tRNA methyltransferase","KAF4587366.1","XP_008598464.1",0,730,0,735
"GQ602_004060","BBA_05144","Diacylglycerol kinase, catalytic domain protein","diacylglycerol kinase catalytic domain-containing protein","KAF4587367.1","XP_008598463.1",3.38e-91,285,4.84e-91,284
"GQ602_004061","BBA_05143","P-loop containing nucleoside triphosphate hydrolase protein","ABC transporter","KAF4587368.1","XP_008598462.1",7.34e-109,336,4.06e-110,340
"GQ602_004063","BBA_05142","hypothetical protein GQ602_004063","tafazzin-like protein","KAF4587370.1","XP_008598461.1",4.5e-88,274,2.64e-82,259
"GQ602_004065","BBA_05140","dihydropteroate synthase","folic acid synthesis protein","KAF4587372.1","XP_008598459.1",1.22e-167,482,1.82e-177,507
"GQ602_004066","BBA_05139","oxidoreductase, 2-nitropropane dioxygenase family","2-nitropropane dioxygenase","KAF4587373.1","XP_008598458.1",0,577,0,576
"GQ602_004067","BBA_05138","ADP-ribosylation factor GTPase-activating protein glo3","GTPase-activating protein ZNF289","KAF4587374.1","XP_008598457.1",0,708,0,733
"GQ602_004068","BBA_05137","import inner membrane translocase subunit tim-21","import inner membrane translocase subunit tim-21, mitochondrial","KAF4587375.1","XP_008598456.1",7.98e-95,275,5.77e-95,275
"GQ602_004069","BBA_05136","DNA-binding protein creA","carbon catabolite repressor","KAF4587376.1","XP_008598455.1",5.85e-175,492,2.93e-176,495
"GQ602_004070","BBA_05134","hypothetical protein GQ602_004070","putative RAD55 protein","KAF4587377.1","XP_008598453.1",6.02e-134,388,2.87e-122,358
"GQ602_004071","BBA_05130","ankyrin repeat-containing protein","TFIID associated protein","KAF4587378.1","XP_008598449.1",0,536,0,535
"GQ602_004073","BBA_05128","acyl CoA binding protein","acyl CoA binding protein","KAF4587380.1","XP_008598447.1",1.74e-28,97.8,1.22e-28,97.8
"GQ602_004074","BBA_06257","RNA recognition motif domain protein","RNA recognition domain-containing protein","KAF4587381.1","XP_008599576.1",1.15e-66,209,1.36e-66,208
"GQ602_004075","BBA_05127","Apoptosis-inducing factor 2","AMID-like mitochondrial oxidoreductase","KAF4587382.1","XP_008598446.1",9.17e-123,358,4.18e-121,353
"GQ602_004076","BBA_05126","Eps15-like protein pan1p","putative Eps15-like protein pan1p","KAF4587383.1","XP_008598445.1",0,672,0,655
"GQ602_004077","BBA_05133","Isopentenyl-diphosphate Delta-isomerase","isopentenyl-diphosphate delta-isomerase","KAF4587384.1","XP_008598452.1",6.25e-140,392,5.95e-140,392
"GQ602_004080","BBA_05124","ATP-dependent protease La","ATP-dependent protease La","KAF4587387.1","XP_008598443.1",0,1494,0,1494
"GQ602_004081","BBA_05123","C6 zinc finger domain-containing protein","Putative Zn(II)2Cys6 transcription factor","KAF4587388.1","XP_008598442.1",3.05e-67,228,2.77e-71,238
"GQ602_004082","BBA_01777","MutL-like protein","putative MLH1 protein","KAF4587389.1","XP_008595096.1",0,887,0,877
"GQ602_004083","BBA_01776","ARM-like repeat-containing protein","ARM-like repeat-containing protein","KAF4587390.1","XP_008595095.1",0,629,0,609
"GQ602_004084","BBA_01775","glycosyltransferase 2","hypothetical protein BBA_01775","KAF4587391.1","XP_008595094.1",2.44e-150,450,2.36e-145,437
"GQ602_004087","BBA_01773","hypothetical protein GQ602_004087","ABC transporter","KAF4587394.1","XP_008595092.1",8.32e-153,457,6.6e-161,478
"GQ602_004088","BBA_01772","hypothetical protein GQ602_004088","proteasome maturation factor UMP1","KAF4587395.1","XP_008595091.1",3.5e-53,163,1.57e-53,164
"GQ602_004089","BBA_01771","Ubiquitin","hypothetical protein BBA_01771","KAF4587396.1","XP_008595090.1",7.65e-90,265,4.58e-90,265
"GQ602_004090","BBA_01770","AP-2 complex subunit beta","AP-2 adaptor complex subunit beta","KAF4587397.1","XP_008595089.1",0,1130,0,1142
"GQ602_004091","BBA_01769","ER membrane protein complex subunit 4","transmembrane protein","KAF4587398.1","XP_008595088.1",6.18e-90,259,4.32e-90,259
"GQ602_004092","BBA_01768","chloramphenicol resistance protein","major facilitator superfamily transporter","KAF4587399.1","XP_008595087.1",0,554,0,554
"GQ602_004093","BBA_01447","syntaxin","SNARE-complex protein Syntaxin-18","KAF4587400.1","XP_008594766.1",5.2e-141,402,4.85e-154,434
"GQ602_004095","BBA_01449","aspartate aminotransferase","aminotransferase class I and II","KAF4587402.1","XP_008594768.1",0,671,0,672
"GQ602_004096","BBA_04307","carboxylesterase domain-containing protein","para-nitrobenzyl esterase","KAF4587403.1","XP_008597626.1",1.01e-135,403,8.04e-133,395
"GQ602_004097","BBA_01452","nonsense-mediated mRNA decay protein 3","NMD3 family protein","KAF4587404.1","XP_008594771.1",0,855,0,860
"GQ602_004098","BBA_01453","Pre-rRNA-processing protein ESF2","RNA recognition domain-containing protein","KAF4587405.1","XP_008594772.1",3.51e-120,346,3.12e-118,341
"GQ602_004099","BBA_01454","betaine aldehyde dehydrogenase 2","aldehyde dehydrogenase","KAF4587406.1","XP_008594773.1",0,771,0,771
"GQ602_004100","BBA_01457","phosphomevalonate kinase","phosphomevalonate kinase","KAF4587407.1","XP_008594776.1",5.55e-179,506,0,532
"GQ602_004101","BBA_01458","pentatricopeptide repeat protein","pentatricopeptide repeat domain-containing protein","KAF4587408.1","XP_008594777.1",0,1561,0,1562
"GQ602_004102","BBA_01459","ATP-dependent RNA helicase DBP7","DEAD/DEAH box helicase","KAF4587409.1","XP_008594778.1",0,971,0,953
"GQ602_004103","BBA_01460","hypothetical protein GQ602_004103","hypothetical protein BBA_01460","KAF4587410.1","XP_008594779.1",2.23e-29,100,6.49e-25,89
"GQ602_004104","BBA_01461","putative TVP15 Tlg2-Vesicle Protein","COPI associated protein","KAF4587411.1","XP_008594780.1",3.22e-60,180,2.1e-57,172
"GQ602_004105","BBA_01462","elongation factor G","translation elongation factor G","KAF4587412.1","XP_008594781.1",0,990,0,990
"GQ602_004106","BBA_01467","PCI domain-containing protein","PCI domain-containing protein","KAF4587413.1","XP_008594786.1",0,625,0,642
"GQ602_004107","BBA_00503","SUR7 protein","SUR7 protein","KAF4587414.1","XP_008593822.1",8.33e-39,138,8.07e-39,137
"GQ602_004108","BBA_00502","Small GTPase superfamily, Rab type","Ras family protein","KAF4587415.1","XP_008593821.1",6.37e-163,454,6.52e-163,453
"GQ602_004109","BBA_00497","activating signal cointegrator 1 complex subunit 3","Sec63 Brl domain-containing protein","KAF4587416.1","XP_008593816.1",0,3049,0,3063
"GQ602_004110","BBA_00495","Synaptobrevin ykt6","SNARE protein, putative","KAF4587417.1","XP_008593814.1",3.22e-141,390,2.3e-141,390
"GQ602_004111","BBA_00494","hypothetical protein GQ602_004111","hypothetical protein BBA_00494","KAF4587418.1","XP_008593813.1",1.87e-16,80.9,4.84e-15,75.9
"GQ602_004112","BBA_00493","profilin","profilin-like protein","KAF4587419.1","XP_008593812.1",1.86e-60,181,1.33e-60,181
"GQ602_004113","BBA_00492","Got1 family protein","Got1 family protein","KAF4587420.1","XP_008593811.1",1.74e-79,229,1.25e-79,229
"GQ602_004114","BBA_02030","NAD-dependent aldehyde dehydrogenase","aldehyde dehydrogenase","KAF4587421.1","XP_008595349.1",1.42e-144,421,1.65e-145,423
"GQ602_004115","BBA_00491","putative IES6 INO80 chromatin remodeling complex subunit 6","chromatin-remodeling complex subunit ies6","KAF4587422.1","XP_008593810.1",4.65e-95,273,7.2e-101,288
"GQ602_004116","BBA_00490","DASH complex subunit dad4","DASH complex subunit Dad4","KAF4587423.1","XP_008593809.1",3.03e-44,136,2.79e-44,136
"GQ602_004117","BBA_00489","actin-like protein","Actin-like protein, ARP5 class","KAF4587424.1","XP_008593808.1",0,1108,0,1145
"GQ602_004118","BBA_00488","transmembrane protein","bZIP transcription factor","KAF4587425.1","XP_008593807.1",5.01e-72,224,1.11e-69,218
"GQ602_004119","BBA_00487","pterin-4-alpha-carbinolamine dehydratase family protein","pterin 4 alpha carbinolamine dehydratase","KAF4587426.1","XP_008593806.1",7.24e-45,144,1.58e-46,149
"GQ602_004120","BBA_00486","C-4 sterol methyl oxidase","fatty acid hydroxylase superfamily protein","KAF4587427.1","XP_008593805.1",0,530,0,530
"GQ602_004121","BBA_00485","ATP synthase regulation protein NCA2","ATP synthase regulation protein NCA2","KAF4587428.1","XP_008593804.1",0,829,0,810
"GQ602_004122","BBA_00483","cysteine dioxygenase","cysteine dioxygenase","KAF4587429.1","XP_008593802.1",7.03e-109,311,5.05e-109,311
"GQ602_004125","BBA_00482","flavodoxin and radical SAM domain protein","wyosine base formation","KAF4587432.1","XP_008593801.1",0,1061,0,1064
"GQ602_004126","BBA_00481","putative mitochondrial import receptor subunit TOM20","MAS20 protein import receptor","KAF4587433.1","XP_008593800.1",5.46e-67,201,1.14e-55,172
"GQ602_004127","BBA_00479","Exocyst complex component EXO84","exocyst complex component EXO84","KAF4587434.1","XP_008593798.1",0,926,0,938
"GQ602_004128","BBA_00478","Serine/threonine-protein phosphatase PP2A catalytic subunit","calcineurin-like phosphoesterase","KAF4587435.1","XP_008593797.1",0,680,0,680
"GQ602_004129","BBA_00476","SH3 domain-containing protein","SH3 domain-containing protein","KAF4587436.1","XP_008593795.1",0,634,0,606
"GQ602_004130","BBA_00475","Scavenger mRNA decapping enzyme","mRNA decapping hydrolase, putative","KAF4587437.1","XP_008593794.1",6.68e-97,285,2.86e-97,286
"GQ602_004131","BBA_00474","putative Gamma interferon inducible lysosomal thiol reductase GILT","gamma interferon inducible lysosomal thiol reductase (GILT)","KAF4587438.1","XP_008593793.1",2.93e-67,206,2.73e-67,205
"GQ602_004133","BBA_00468","Pre-mRNA splicing factor CEF1","pre-mRNA-splicing factor cef-1","KAF4587440.1","XP_008593787.1",0,1061,0,1072
"GQ602_004134","BBA_00467","Major facilitator superfamily domain, general substrate transporter","major facilitator superfamily transporter","KAF4587441.1","XP_008593786.1",0,611,0,610
"GQ602_004135","BBA_00466","Nitrilase and fragile histidine triad fusion protein NitFhit","Bis(5\\'-adenosyl)-triphosphatase","KAF4587442.1","XP_008593785.1",5.21e-66,199,3.95e-66,199
"GQ602_004136","BBA_00413","orotate phosphoribosyltransferase","orotate phosphoribosyltransferase","KAF4587443.1","XP_008593732.1",4.24e-103,296,5.05e-100,288
"GQ602_004137","BBA_00464","MFS transporter","major facilitator superfamily transporter","KAF4587444.1","XP_008593783.1",0,808,0,808
"GQ602_004142","BBA_00462","APSES transcription factor Xbp1","APSES transcription factor Xbp1","KAF4587449.1","XP_008593781.1",6.66e-68,221,9.81e-68,220
"GQ602_004143","BBA_00461","DNA topoisomerase 2","topoisomerase IV","KAF4587450.1","XP_008593780.1",0,2214,0,2262
"GQ602_004145","BBA_00457","Calcium channel YVC1","integral membrane channel protein","KAF4587452.1","XP_008593776.1",0,1457,0,1439
"GQ602_004146","BBA_00456","Rab-GAP/TBC domain protein","GTPase-activating protein GYP5","KAF4587453.1","XP_008593775.1",0,1081,0,1130
"GQ602_004147","BBA_00454","cell lysis protein-like protein","cell lysis protein-like protein","KAF4587454.1","XP_008593773.1",1.58e-112,328,1.96e-112,327
"GQ602_004148","BBA_00453","ribosome biogenesis protein","AARP2CN domain-containing protein","KAF4587455.1","XP_008593772.1",0,1507,0,1521
"GQ602_004150","BBA_00437","gamma-tubulin complex component GCP6","Spc97/Spc98 family protein","KAF4587457.1","XP_008593756.1",0,691,0,673
"GQ602_004151","BBA_00429","Translocation protein SEC62","translocation protein SEC62","KAF4587458.1","XP_008593748.1",8.42e-176,493,3.91e-176,494
"GQ602_004152","BBA_00430","RNA polymerase II transcription mediator","RNA polymerase II transcription mediator","KAF4587459.1","XP_008593749.1",6.4e-80,230,4.57e-80,230
"GQ602_004153","BBA_00431","pyrimidine 5\\'-nucleotidase","Pyrimidine 5-nucleotidase","KAF4587460.1","XP_008593750.1",9.51e-120,341,5.46e-120,341
"GQ602_004154","BBA_00432","hypothetical protein GQ602_004154","hypothetical protein BBA_00432","KAF4587461.1","XP_008593751.1",4.5e-65,231,2.55e-65,231
"GQ602_004155","BBA_00433","KH domain-containing protein","KH domain-containing protein","KAF4587462.1","XP_008593752.1",0,1690,0,1690
"GQ602_004156","BBA_00434","DEAD/DEAH box helicase","DEAD/DEAH box helicase","KAF4587463.1","XP_008593753.1",0,761,0,753
"GQ602_004157","BBA_00435","Homeodomain-like protein","hypothetical protein BBA_00435","KAF4587464.1","XP_008593754.1",1.57e-118,359,1.89e-113,346
"GQ602_004159","BBA_00425","disulfide isomerase","disulfide isomerase","KAF4587466.1","XP_008593744.1",0,895,0,870
"GQ602_004160","BBA_00424","hypothetical protein GQ602_004160","tyrosyl-DNA phosphodiesterase","KAF4587467.1","XP_008593743.1",4.55e-140,407,2.61e-140,407
"GQ602_004161","BBA_00423","Multi antimicrobial extrusion protein","multidrug and toxin extrusion protein","KAF4587468.1","XP_008593742.1",0,782,0,788
"GQ602_004163","BBA_00419","putative fatty acid activator Faa4","hypothetical protein BBA_00419","KAF4587470.1","XP_008593738.1",9.74e-21,75.5,6.85e-21,75.5
"GQ602_004164","BBA_00418","C2H2 transcription factor","C2H2 transcription factor","KAF4587471.1","XP_008593737.1",6.84e-174,491,1.55e-165,470
"GQ602_004165","BBA_00416","50S ribosomal protein L4","50S ribosomal protein L4","KAF4587472.1","XP_008593735.1",3.27e-96,280,2.27e-96,280
"GQ602_004166","BBA_00415","rab GDP-dissociation inhibitor","GDP dissociation inhibitor","KAF4587473.1","XP_008593734.1",0,829,0,829
"GQ602_004167","BBA_00414","nucleolar GTP-binding protein","nucleolar GTP-binding protein 1","KAF4587474.1","XP_008593733.1",0,1061,0,1066
"GQ602_004168","BBA_00412","DNA damage-inducible protein 1","aspartyl protease","KAF4587475.1","XP_008593731.1",0,553,0,592
"GQ602_004169","BBA_00411","ribosomal RNA-processing protein 8","methyltransferase domain-containing protein","KAF4587476.1","XP_008593730.1",0,521,0,517
"GQ602_004170","BBA_01514","Zn(2)-C6 fungal-type DNA-binding domain protein","C6 finger domain protein","KAF4587477.1","XP_008594833.1",0,711,0,704
"GQ602_004171","BBA_01513","proteasome component PUP2","proteasome A-type and B-type","KAF4587478.1","XP_008594832.1",7.3e-165,455,5.77e-165,455
"GQ602_004172","BBA_01512","hypothetical protein GQ602_004172","Spc97/Spc98 family protein","KAF4587479.1","XP_008594831.1",0,1185,0,1179
"GQ602_004173","BBA_01511","SNF2 family helicase/ATPase","SNF2 family DNA-dependent ATPase","KAF4587480.1","XP_008594830.1",0,1305,0,1311
"GQ602_004174","BBA_01510","Signal recognition particle 68 kDa protein","signal recognition particle 68 kDa protein","KAF4587481.1","XP_008594829.1",0,575,0,575
"GQ602_004175","BBA_01508","Heat shock 70 kDa protein","hsp70-like protein","KAF4587482.1","XP_008594827.1",0,1201,0,1201
"GQ602_004176","BBA_01507","WD domain containing protein","WD domain containing protein","KAF4587483.1","XP_008594826.1",0,745,0,744
"GQ602_004177","BBA_01506","hypothetical protein GQ602_004177","FAD dependent oxidoreductase","KAF4587484.1","XP_008594825.1",6.16e-143,421,5.44e-137,406
"GQ602_004179","BBA_01505","peptidase family M20/M25/M40 protein","peptidase family M20/M25/M40 protein","KAF4587486.1","XP_008594824.1",5e-78,266,3.98e-74,255
